,nombre,categoria,seccion,descripcion,dimensiones,imagen
3458,PER40,Perchero,Dormitorio  ,Perchero de pie tubo azul con ganchos niquelados en espiral,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/PER40/PER40-720x540.png
3459,CDM40,Centro de mesa,,Centro de mesa de loza Talavera forma cesta,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/CDM40/CDM40-720x540.png
3460,FIG40,Figuras,Adorno  ,Figura de paja pájaro,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/FIG40/FIG40-720x540.png
3461,PLA40,Playa,Sombrillas  ,Sombrilla tela rayas colores,0x140x0 (cm),https://atrezzovazquez.es/admin/img_prod/PLA40/PLA40-720x540.png
3462,REG40,Religión,Iglesia  Cruces  ,Crucifijo de mesa metal grabado,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/REG40/REG40-720x540.png
3463,RU40,Rural,Oficios  ,Telar de pie figurado,74x25x172 (cm),https://atrezzovazquez.es/admin/img_prod/RU40/RU40-720x540.png
3464,ALF41,Alfombra,Arabe  Comedor  Salón  ,Alfombra persa roja,195x145x1 (cm),https://atrezzovazquez.es/admin/img_prod/ALF41/ALF41-720x540.png
3465,AFC41,Alfombra de cama,Dormitorio  ,Alfombrin de cama azul y crema,120x60x1 (cm),https://atrezzovazquez.es/admin/img_prod/AFC41/AFC41-720x540.png
3466,AP41,Aparador,Comedor  Valenciano  ,Aparador valenciano con puerta cristal,155x50x112 (cm),https://atrezzovazquez.es/admin/img_prod/AP41/AP41-720x540.png
3467,AR41,Armario,,Armario nogal 1 puerta espejo,82x43x184 (cm),https://atrezzovazquez.es/admin/img_prod/AR41/AR41-1-720x540.png
3468,BAC41,Banco,Rústico  Taberna  ,Banco de cruceta de pino,181x31x46 (cm),https://atrezzovazquez.es/admin/img_prod/BAC41/BAC41-1-720x540.png
3469,BAN41,Banqueta,Cubista  Salón  ,Banqueta  cubista pata plana,57x57x33 (cm),https://atrezzovazquez.es/admin/img_prod/BAN41/BAN41-1-720x540.png
3470,BAU41,Baul,Almacenaje  Viaje  ,Baúl pequeño madera figurado,50x38x40 (cm),https://atrezzovazquez.es/admin/img_prod/BAU41/BAU41-1-720x540.png
3471,BIO41,Biombo,Dormitorio  ,Biombo 3 hojas tapizado tela flores,150x5x200 (cm),https://atrezzovazquez.es/admin/img_prod/BIO41/BIO41-720x540.png
3472,CA41,Cama,Dormitorio  Frances  ,Cama francesa cabecero rejilla,140x190x130 (cm),https://atrezzovazquez.es/admin/img_prod/CA41/CA41-1-720x540.png
3473,CO41,Cocinas,Electrodomestico  ,Frigorífico 1 puerta,57x57x128 (cm),https://atrezzovazquez.es/admin/img_prod/CO41/CO41-720x540.png
3474,COM41,Comoda,Comodín  Dormitorio  ,Comodín haya 2 puertas y 3 cajones,80x48x78 (cm),https://atrezzovazquez.es/admin/img_prod/COM41/COM41-1-720x540.png
3475,CON41,Consola,Recibidor  Rústico  ,Consola rinconera rustica 2 patas torneadas,70x39x80 (cm),https://atrezzovazquez.es/admin/img_prod/CON41/CON41-720x540.png
3476,CU41,Cuadro,Animales  Paisaje  ,Cuadro marco barroco dorado lámina paisaje con caballos,108x10x92 (cm),https://atrezzovazquez.es/admin/img_prod/CU41/CU41-720x540.png
3477,ANU41,Carteles y anuncios,Tienda  ,Carteles anuncio farmacia,10x1x5 (cm),https://atrezzovazquez.es/admin/img_prod/ANU41/ANU41-720x540.png
3478,ESP41,Espejo,Dormitorio  Salón  ,Espejo pared marco tallado,132x20x71 (cm),https://atrezzovazquez.es/admin/img_prod/ESP41/ESP41-720x540.png
3479,ES41,Estanteria,Dormitorio  ,Estantería de suelo madera pintada,84x25x130 (cm),https://atrezzovazquez.es/admin/img_prod/ES41/ES41-1-720x540.png
3480,EST41,Estufa,Calefaccion  ,Estufa de butano marrón Mepamsa,53x40x73 (cm),https://atrezzovazquez.es/admin/img_prod/EST41/EST41-1-720x540.png
3481,ESTAT41,Estatua,Griego  ,Torso escayola hombre,26x18x52 (cm),https://atrezzovazquez.es/admin/img_prod/ESTAT41/ESTAT41-720x540.png
3482,F41,Fichero,Despacho  ,Cajonera de despacho crema 2 cajones con ruedas,42x55x62 (cm),https://atrezzovazquez.es/admin/img_prod/F41/F41-1-720x540.png
3483,MUS41,Instrumentos musicales,Musica  ,Gaita pequeña,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/MUS41/MUS41 (INM28)-720x540.png
3484,ADO41,Adornos,Salón  ,Maqueta barco chapa,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/ADO41/ADO41-720x540.png
3485,DPT41,Deporte,Bicicleta  ,Bicicleta de niño verde,100x15x50 (cm),https://atrezzovazquez.es/admin/img_prod/DPT41/DPT41-720x540.png
3486,LAM41,Lámpara,Lámpara de mesa  Salón  ,Lámpara de mesa mármol y metal,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/LAM41/LAM41-720X540.png
3487,FUM41,Artículos de fumador,Cenicero  ,Cenicero cristal grueso diferentes,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/FUM41/FUM41-720X540.png
3488,M41,Mesa,Centro  Japonés  ,Mesa japonesa centro rectangular roja,130x52x45 (cm),https://atrezzovazquez.es/admin/img_prod/M41/M41-1-720x540.png
3489,BYC41,Atrezzo de bar y cafetería,Bar y cafetería  ,Vasos cristal para licor,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/BYC41/BYC41(BAR41-720x540).png
3490,COL41,Atrezzo colegio,Colegio  ,Cartabones de madera de pizarra,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/COL41/COL41-1-720x540.png
3491,DES41,Atrezzo despacho,Despacho  Máquinas de escribir  ,Máquina de escribir Andina,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/DES41/DES41-720x540.png
3492,BA41,Baño,Lavabo  ,Lavabo de loza con pie y un grifo,57x44x90 (cm),https://atrezzovazquez.es/admin/img_prod/BA41/BA41-1-720x540.png
3493,BEB41,Bebé,Cochecito  ,Cochecito de bebé marrón con capota,42x96x92 (cm),https://atrezzovazquez.es/admin/img_prod/BEB41/BEB41-1-720x540.png
3494,CST41,Moda y costura,Máquinas de coser  ,Máquina de coser ALFA con mueble formica,44x82x57 (cm),https://atrezzovazquez.es/admin/img_prod/CST41/CST41-1-720x540.png
3495,CRI41,Cristalería,,Vasos cristal de licor.,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CRI41/CRI41-720x540.png
